tree_kind,feature_count,depth,rows,status,candidate_ns_per_row,candidate_mad_ns_per_row,baseline_ns_per_row,baseline_mad_ns_per_row,speedup_percent,reason
fixed,1,1,20000000,measured,2.540290399999978,0.027253999999975687,2.4791297999999538,0.02939410000002507,-2.4076223726242074,
fixed,1,2,20000000,measured,3.509699999999997,0.04570059999996445,3.4912088499998934,0.0306213500000605,-0.5268584209506044,
fixed,1,3,20000000,measured,3.4756669500000545,0.01876405000004633,3.4971955000000388,0.055977049999990314,0.6194077369807705,
fixed,1,4,20000000,measured,4.2829787999999755,0.09661000000006492,4.116780399999944,0.05694655000003035,-3.880439473574626,
fixed,1,5,20000000,measured,4.995713600000103,0.1195929999999672,4.758848299999911,0.06393235000005504,-4.741370682262247,
fixed,1,6,20000000,measured,5.419947600000041,0.11492209999993985,5.225121250000118,0.034669499999917086,-3.594616855703947,
fixed,1,7,20000000,measured,5.965484349999959,0.08837919999998256,5.827423399999901,0.04616179999998682,-2.314329263139525,
fixed,1,8,20000000,measured,6.807815900000138,0.07526099999983504,6.491312749999964,0.0633571000000206,-4.649114409808986,
fixed,1,9,20000000,measured,7.171549399999956,0.060935700000009696,7.015738349999977,0.055419949999967244,-2.1726274380816535,
fixed,1,10,20000000,measured,7.796511299999922,0.06276939999996856,7.775985149999941,0.13094340000003513,-0.26327352337681686,
fixed,2,1,20000000,measured,3.246243100000042,0.04741714999998958,3.094357449999953,0.04672649999999123,-4.6788131794592625,
fixed,2,2,20000000,measured,3.981295200000079,0.11483820000005984,3.829640199999968,0.03853139999997035,-3.8091875226963334,
fixed,2,3,20000000,measured,4.591117149999834,0.03406764999995282,4.6483908499998865,0.06847504999999288,1.2474894046224705,
fixed,2,4,20000000,measured,5.518916349999912,0.11745895000002005,5.424894649999946,0.09360160000004836,-1.7036261113101858,
fixed,2,5,20000000,measured,6.294920199999926,0.07350279999999998,6.263666799999945,0.09308975000006647,-0.496486039647992,
fixed,2,6,20000000,measured,7.005563249999891,0.14048075000001692,6.987063249999917,0.1332067000000059,-0.26407584001150175,
fixed,2,7,20000000,measured,7.818702849999902,0.08356289999997468,7.947074400000099,0.21324300000020102,1.641852267095678,
fixed,2,8,20000000,measured,8.744619099999964,0.2039257999999471,8.557549000000014,0.12861055000007937,-2.139259559057871,
fixed,2,9,20000000,measured,9.264030399999964,0.08668799999990107,9.290596450000036,0.08321714999995855,0.28676557451789986,
fixed,2,10,20000000,measured,10.093738900000002,0.04556800000004024,9.980622499999992,0.07167720000003719,-1.1206590651954507,
fixed,3,1,20000000,measured,3.568351149999959,0.012517500000008841,3.574153899999996,0.06397210000002751,0.16261712359888492,
fixed,3,2,20000000,measured,4.531487349999904,0.059397700000045184,4.443639399999893,0.022153400000028967,-1.938611833485815,
fixed,3,3,20000000,measured,5.427889450000031,0.06635219999991371,5.452176600000061,0.02929089999997725,0.4474510806411036,
fixed,3,4,20000000,measured,6.538771050000024,0.20434564999995786,6.302651950000028,0.06946144999998083,-3.6110623570463685,
fixed,3,5,20000000,measured,7.445723949999903,0.1520720500000401,7.381837499999875,0.02639280000001598,-0.8580287213042381,
fixed,3,6,20000000,measured,8.404080000000008,0.22259175000001896,8.308898249999938,0.17190049999998713,-1.1325659679592426,
fixed,3,7,20000000,measured,9.251560099999919,0.06400674999997236,9.204755699999934,0.14567400000000674,-0.5059081873119431,
fixed,3,8,20000000,measured,10.443975799999942,0.21222940000004797,10.16644629999989,0.22995049999995132,-2.6573165747861394,
fixed,3,9,20000000,measured,11.097326449999974,0.10008255000001398,11.144626749999928,0.11448934999996574,0.42623149109894953,
fixed,3,10,20000000,measured,12.349540300000054,0.18503045000003127,12.226137600000008,0.16678885000012755,-0.9992493404798686,
fixed,4,1,20000000,measured,4.126527050000053,0.09086740000009019,4.0568566499999505,0.041180550000008864,-1.6883543753845487,
fixed,4,2,20000000,measured,5.184605099999971,0.09091990000001982,5.183318199999951,0.017236700000003324,-0.024821562591537116,
fixed,4,3,20000000,measured,6.5302306499999725,0.12085865000006368,6.276674699999958,0.06064180000003283,-3.882802363190885,
fixed,4,4,20000000,measured,7.613701950000034,0.23699905000006005,7.543499100000104,0.25350995000012766,-0.9220593406592426,
fixed,4,5,20000000,measured,8.883087600000014,0.20950735000004173,8.54703705000001,0.14247185000009388,-3.783037668118938,
fixed,4,6,20000000,measured,9.65539779999998,0.08627195000001109,9.740998949999968,0.08455465000000295,0.8865626437472018,
fixed,4,7,20000000,measured,10.937430899999935,0.11312149999998766,10.752505349999966,0.13218465000005608,-1.6907585674435621,
fixed,4,8,20000000,measured,12.011748049999875,0.29862790000003336,12.06026504999986,0.2525411500000825,0.4039129009202336,
fixed,4,9,20000000,measured,13.366728400000087,0.18207360000014994,13.089657499999976,0.08887605000005294,-2.0728400526198176,
fixed,4,10,20000000,measured,14.598687649999974,0.3096739500000538,14.261754399999896,0.12115500000006563,-2.307969442719593,
fixed,5,1,20000000,measured,4.8369772999999565,0.11915545000005512,4.600810699999897,0.031441899999998135,-4.882524464195059,
fixed,5,2,20000000,measured,6.180877350000074,0.1156324999999665,6.104263800000051,0.056914250000015265,-1.2395254858118543,
fixed,5,3,20000000,measured,7.716799899999994,0.20562970000003133,7.52312644999995,0.0925138999999362,-2.5097637947051554,
fixed,5,4,20000000,measured,9.172082050000059,0.2371564000000035,8.961764799999946,0.11339715000001682,-2.293015357403083,
fixed,5,5,20000000,measured,10.528342999999865,0.11328639999991807,10.420688149999929,0.15173330000000362,-1.0225241521855555,
fixed,5,6,20000000,measured,11.783984450000059,0.07046594999984812,11.88332709999996,0.2543591500000506,0.8430310683234188,
fixed,5,7,20000000,measured,13.776066150000005,0.11501074999997307,13.430701850000075,0.2517748000000104,-2.5069878166919968,
fixed,5,8,20000000,measured,14.879588899999952,0.24899705000000516,14.621585449999989,0.08421675000004214,-1.7339420580360532,
fixed,5,9,20000000,measured,16.104648199999886,0.10898375000000549,16.039327249999953,0.10656489999995067,-0.4056030854491688,
fixed,5,10,20000000,measured,17.82539509999996,0.18617004999992304,17.579404249999957,0.15450219999994985,-1.3800022306378112,
fixed,6,1,10000000,measured,5.360471799999947,0.06942029999995292,5.30902479999998,0.052506800000013065,-0.9597476102750413,
fixed,6,2,10000000,measured,7.2749542999999255,0.14493399999997436,7.206792699999968,0.11121240000005361,-0.9369350952480593,
fixed,6,3,10000000,measured,9.115326199999966,0.20103530000000625,8.808035799999963,0.06855280000004704,-3.371139915980237,
fixed,6,4,10000000,measured,10.575610900000008,0.05609300000002726,10.535972299999965,0.12534190000001466,-0.3748114446990747,
fixed,6,5,10000000,measured,12.629039499999923,0.22727360000000196,12.366328999999883,0.20878299999994887,-2.0802096628175226,
fixed,6,6,10000000,measured,14.762882,0.09961610000004306,13.928941299999929,0.09996609999996764,-5.648901752381885,
fixed,6,7,10000000,measured,16.07495639999994,0.26170869999995894,15.84421539999999,0.12173559999995298,-1.4354066926113185,
fixed,6,8,10000000,measured,18.041587399999948,0.3991427999999857,17.680052799999917,0.214041899999998,-2.0038957325896445,
fixed,6,9,10000000,measured,19.923515199999958,0.3475154000000238,19.229085499999865,0.2080939999999174,-3.48547780363625,
fixed,6,10,10000000,measured,21.593890100000003,0.3747443999999476,21.41098749999995,0.22022279999994154,-0.8470108866584058,
fixed,7,1,10000000,measured,6.099374899999963,0.04820030000000575,5.899406999999953,0.03053319999998827,-3.2784982605350454,
fixed,7,2,10000000,measured,8.372326499999978,0.06075630000000665,8.089372799999975,0.10842610000001063,-3.3796305005544647,
fixed,7,3,10000000,measured,10.198669899999992,0.1084567000000316,10.274102399999979,0.17228790000000238,0.7396307630271215,
fixed,7,4,10000000,measured,12.223706499999938,0.20056360000001305,12.27541879999997,0.13905170000003686,0.42304926087706196,
fixed,7,5,10000000,measured,14.31714319999997,0.14134239999998854,14.258378999999941,0.18549760000000326,-0.4104464080517789,
fixed,7,6,10000000,measured,16.720478599999954,0.14758559999993537,16.765104299999983,0.5594038999999214,0.2668924799797967,
fixed,7,7,10000000,measured,19.118584999999992,0.4462370000000391,18.30963339999992,0.19749629999998675,-4.231231547732595,
fixed,7,8,10000000,measured,20.991720699999973,0.23376309999998668,20.39307609999991,0.07811669999994564,-2.8518129054568853,
fixed,7,9,10000000,measured,23.09169499999996,0.5747691000000117,22.75375859999985,0.33371109999980675,-1.4634542851882926,
fixed,7,10,10000000,measured,25.440041699999956,0.18455099999999902,25.161391699999974,0.5371808000000478,-1.0953205316482695,
fixed,8,1,10000000,measured,6.954580699999967,0.11348300000002354,6.9241495999999705,0.08804380000003764,-0.4375691549599381,
fixed,8,2,10000000,measured,10.606524799999958,0.10750140000001274,10.967738599999945,0.10978299999999663,3.4055810627057426,
