tree_kind,feature_count,depth,rows,status,candidate_ns_per_row,candidate_mad_ns_per_row,baseline_ns_per_row,baseline_mad_ns_per_row,speedup_percent,reason
fixed,1,1,20000000,measured,2.690210200000144,0.014349049999992758,2.692132850000167,0.010168149999932652,0.07146839306546582,
fixed,1,2,20000000,measured,3.706927850000223,0.035600849999879,3.660346350000015,0.0073756499999686476,-1.2566065994568887,
fixed,1,3,20000000,measured,3.7588900999999324,0.005618000000021883,3.7598759999999976,0.0039011500000571964,0.026228486969204212,
fixed,1,4,20000000,measured,4.406911749999978,0.005936800000074349,4.401541299999995,0.010996400000098383,-0.1218642510820045,
fixed,1,5,20000000,measured,5.0596456999999635,0.012254649999939637,5.063615350000114,0.0227843000001533,0.07845707457638795,
fixed,1,6,20000000,measured,5.635960350000108,0.006685999999951342,5.64799900000007,0.014097250000009609,0.21360423516751936,
fixed,1,7,20000000,measured,6.287842450000117,0.0075465499999145536,6.291150250000212,0.012878200000066897,0.05260627991872102,
fixed,1,8,20000000,measured,6.90105150000003,0.0031185499999555333,6.912709900000024,0.015337100000034631,0.16893657437557774,
fixed,1,9,20000000,measured,7.518952000000045,0.005274650000092862,7.526158850000012,0.01329409999995157,0.09584912897391273,
fixed,1,10,20000000,measured,8.153604500000098,0.0027870999999564106,8.15975410000006,0.00762939999993506,0.07542185790299083,
fixed,2,1,20000000,measured,3.3335905499999647,0.01113279999994532,3.3338817499999567,0.011983899999929992,0.008735325938324934,
fixed,2,2,20000000,measured,4.148580350000123,0.0036701999999548818,4.15429710000007,0.0037557000000338903,0.13780015132036638,
fixed,2,3,20000000,measured,4.9792022999999555,0.00768109999998412,4.9874441999999535,0.007717849999970383,0.16552651415666642,
fixed,2,4,20000000,measured,5.798123999999995,0.006660449999968954,5.8076964999999685,0.004809950000006502,0.16509650362726003,
fixed,2,5,20000000,measured,6.608838900000004,0.016762749999989168,6.6192530999999875,0.016094549999855268,0.15757987382600813,
fixed,2,6,20000000,measured,7.411974899999949,0.003479950000066623,7.420509399999941,0.0015071999999376473,0.1151447504226022,
fixed,2,7,20000000,measured,8.243639850000157,0.004304949999994534,8.2447506500001,0.003214500000028764,0.013474630383591979,
fixed,2,8,20000000,measured,9.075509099999987,0.00471434999993825,9.080650599999919,0.005357650000092917,0.05665246922545997,
fixed,2,9,20000000,measured,9.915351000000078,0.003181650000049885,9.922658949999983,0.00436849999998401,0.07370339184065156,
fixed,2,10,20000000,measured,10.79050675000002,0.021710149999993433,10.774952250000025,0.014545949999954289,-0.14414985653935508,
fixed,3,1,20000000,measured,3.848208300000076,0.00840365000003418,3.8465622999999822,0.0077023000000835395,-0.042773152380903845,
fixed,3,2,20000000,measured,4.808868599999968,0.012051900000010107,4.820730650000045,0.008770850000007435,0.24667028747835662,
fixed,3,3,20000000,measured,5.7996883500000465,0.009759700000041782,5.80645055000007,0.013099300000082081,0.11659592019326315,
fixed,3,4,20000000,measured,6.788215000000002,0.010653549999979361,6.809878949999956,0.0168764999999933,0.31914059881654744,
fixed,3,5,20000000,measured,7.788032499999925,0.012164299999948724,7.804901449999948,0.005829250000037867,0.21660091942377058,
fixed,3,6,20000000,measured,8.7807744999999,0.006242450000012667,8.811340599999943,0.014759300000060094,0.3481025506353985,
fixed,3,7,20000000,measured,9.792565550000054,0.00516565000006608,9.80656375000007,0.0287701500001436,0.14294721774943397,
fixed,3,8,20000000,measured,10.79536935000002,0.005116250000019917,10.78477324999999,0.002583799999980485,-0.09815412198035389,
fixed,3,9,20000000,measured,11.834456600000166,0.013690399999923386,11.831255950000088,0.021032450000094016,-0.027045179244467032,
fixed,3,10,20000000,measured,12.847379850000063,0.010349399999896036,12.843052250000147,0.03401825000008252,-0.03368468941093994,
fixed,4,1,20000000,measured,4.326413450000111,0.007747649999980233,4.331462350000063,0.015624800000020755,0.11669943379897241,
fixed,4,2,20000000,measured,5.543463050000081,0.03298959999997564,5.543523300000082,0.008132050000042135,0.0010868657273732651,
fixed,4,3,20000000,measured,6.733473000000016,0.008469249999986772,6.745479799999997,0.006097750000031432,0.17831511316643844,
fixed,4,4,20000000,measured,7.948642000000019,0.012933899999961085,7.944797000000069,0.01253870000000834,-0.0483730428411544,
fixed,4,5,20000000,measured,9.148650950000068,0.008334750000065227,9.135695850000136,0.009394649999975968,-0.14160667043409125,
fixed,4,6,20000000,measured,10.327586300000055,0.004734800000003148,10.344032700000009,0.010867700000035896,0.15924727736191802,
fixed,4,7,20000000,measured,11.539464550000023,0.010100549999906505,11.524353600000083,0.009054900000020183,-0.13095018347224485,
fixed,4,8,20000000,measured,12.741806650000063,0.0339805500000665,12.731234450000038,0.015212449999964406,-0.08297253513908087,
fixed,4,9,20000000,measured,13.954954850000048,0.032012799999908026,13.955133000000032,0.02985084999995813,0.0012766074981795938,
fixed,4,10,20000000,measured,15.197351849999967,0.028461299999934297,15.249328800000011,0.04180060000000907,0.3420132040967694,
fixed,5,1,20000000,measured,4.988186100000029,0.014012399999992375,5.005706599999987,0.013763849999929967,0.3512399026162516,
fixed,5,2,20000000,measured,6.549431050000101,0.0366094000000583,6.547026800000073,0.007687150000003307,-0.03670929553534208,
fixed,5,3,20000000,measured,8.054561099999987,0.020723750000042784,8.064682400000038,0.011526799999975523,0.12565923672800405,
