tree_kind,feature_count,depth,rows,status,candidate_ns_per_row,candidate_mad_ns_per_row,baseline_ns_per_row,baseline_mad_ns_per_row,speedup_percent,reason
fixed,1,1,20000000,measured,2.171662200000057,0.005265449999994676,2.1631776000000396,0.005990900000010235,-0.3906961220772387,
fixed,1,2,20000000,measured,2.678644999999955,0.004992549999986551,2.6652520499999413,0.001433199999973489,-0.49998973361584653,
fixed,1,3,20000000,measured,3.292807100000065,0.02032340000001165,3.2805343500000186,0.01588125000000451,-0.37271390723271347,
fixed,1,4,20000000,measured,3.715440599999956,0.011361549999981513,3.704014549999966,0.002490199999990672,-0.307528802909407,
fixed,1,5,20000000,measured,4.288756300000017,0.007806550000013068,4.278715850000039,0.004702450000017677,-0.2341109939023034,
fixed,1,6,20000000,measured,4.779084100000107,0.0029517499999789365,4.770243100000136,0.0027538999999974223,-0.1849936057825574,
fixed,1,7,20000000,measured,5.33199625000002,0.005596100000024862,5.323436000000056,0.0018438499999922087,-0.1605449366166356,
fixed,1,8,20000000,measured,5.873529450000076,0.005365900000030344,5.869132500000159,0.010434200000088545,-0.07486044017225302,
fixed,1,9,20000000,measured,6.396072900000033,0.002821100000060639,6.386386450000017,0.008148449999996643,-0.1514437085295861,
fixed,1,10,20000000,measured,6.946789050000131,0.004578400000016636,6.942681250000131,0.007275399999953969,-0.059132355544899706,
fixed,2,1,20000000,measured,2.697863450000038,0.006189550000009536,2.6862871500000387,0.01420440000000145,-0.4290913982321509,
fixed,2,2,20000000,measured,3.475921750000027,0.01613205000008122,3.441722550000106,0.0046874000000065585,-0.9838886620483045,
fixed,2,3,20000000,measured,4.18413334999999,0.009295249999993871,4.157456200000007,0.004942100000007166,-0.6375788668394944,
fixed,2,4,20000000,measured,4.911979949999958,0.01052084999998204,4.904516649999979,0.016715300000033295,-0.15194076677733648,
fixed,2,5,20000000,measured,5.63424160000004,0.002188149999983402,5.624971600000075,0.01624854999997094,-0.16452968576933236,
fixed,2,6,20000000,measured,6.341684100000244,0.004539350000051456,6.341244350000222,0.006282749999992454,-0.006934277915582321,
fixed,2,7,20000000,measured,7.065411300000037,0.004197449999998604,7.0603946500000045,0.00839395000005183,-0.07100294359413395,
