tree_kind,feature_count,depth,rows,status,candidate_ns_per_row,candidate_mad_ns_per_row,baseline_ns_per_row,baseline_mad_ns_per_row,speedup_percent,reason
fixed,1,1,20000000,measured,2.6806797500001407,0.012687550000057168,2.683301800000148,0.015315000000258205,0.09781287749897061,
fixed,1,2,20000000,measured,3.6692457000001544,0.009004899999980776,3.72564155000015,0.017150500000026714,1.5369875612307293,
fixed,1,3,20000000,measured,3.7542123999999686,0.00577689999999631,3.7471362499999845,0.0018896999999933328,-0.18848560619489918,
fixed,1,4,20000000,measured,4.3931926499999925,0.009205300000009409,4.3912244000000635,0.0042597499999939,-0.04480226925466235,
fixed,1,5,20000000,measured,5.0390959000000555,0.004582450000000904,5.028872450000035,0.0029419500001219845,-0.20288262424257297,
fixed,1,6,20000000,measured,5.6194407000001,0.006606949999965472,5.621470450000005,0.002751450000017641,0.03612014270220065,
fixed,1,7,20000000,measured,6.270880750000142,0.004901450000104113,6.26103600000011,0.015738250000115528,-0.1569915039451475,
fixed,1,8,20000000,measured,6.894815349999947,0.007251299999921024,6.887964999999882,0.001560149999884075,-0.09935509005422061,
fixed,1,9,20000000,measured,7.503339499999943,0.006535500000063976,7.502327649999903,0.004846249999910235,-0.013485328766482674,
fixed,1,10,20000000,measured,8.147465300000068,0.007091849999916633,8.143377799999987,0.0031550500000374626,-0.050168977093778544,
fixed,2,1,20000000,measured,3.3017367500000248,0.019397050000040217,3.289115850000024,0.004455549999922592,-0.3822503414301792,
fixed,2,2,20000000,measured,4.121367300000105,0.009103300000012915,4.11989475000007,0.0035872999998938226,-0.035729647295312805,
fixed,2,3,20000000,measured,4.9639129999999465,0.007882100000055736,4.968515149999962,0.014679899999968882,0.0927121406039122,
fixed,2,4,20000000,measured,5.780053599999906,0.004190649999902263,5.7667645500000715,0.01253795000011948,-0.2299122278007104,
fixed,2,5,20000000,measured,6.58105694999997,0.011796700000125782,6.574860500000014,0.009207799999949806,-0.0941558483239624,
fixed,2,6,20000000,measured,7.397935149999963,0.0023674000000237783,7.397502399999953,0.009543299999895005,-0.005849605210583864,
fixed,2,7,20000000,measured,8.22629795000012,0.0035043500000284666,8.218715450000067,0.01015649999994217,-0.0921739043022729,
fixed,2,8,20000000,measured,9.060641999999952,0.005343399999933496,9.057281899999824,0.008478900000072898,-0.037084568622491876,
fixed,2,9,20000000,measured,9.897841849999981,0.0060051999999881644,9.888243149999878,0.007662300000092159,-0.09697770630778813,
fixed,2,10,20000000,measured,10.749815550000184,0.011482950000017311,10.733389150000015,0.015228449999721505,-0.1528063428043569,
fixed,3,1,20000000,measured,3.8097456500000746,0.02048590000000905,3.8112188500000364,0.004029199999986854,0.03866924816784412,
fixed,3,2,20000000,measured,4.7843995499999785,0.009004750000007888,4.771860699999939,0.00294164999998614,-0.2620778191495199,
fixed,3,3,20000000,measured,5.756749749999992,0.006337749999953957,5.765303999999936,0.005753200000055081,0.14859513391116685,
fixed,3,4,20000000,measured,6.745527899999987,0.005550399999980193,6.744728949999914,0.006026500000055002,-0.011844143437211851,
fixed,3,5,20000000,measured,7.7542799499999475,0.007784199999980146,7.744210999999894,0.009579499999989416,-0.12985022548809289,
fixed,3,6,20000000,measured,8.752875849999946,0.009846000000067079,8.758539599999901,0.009704450000068476,0.06470730417085235,
fixed,3,7,20000000,measured,9.765641599999999,0.012048949999986291,9.76039534999996,0.009371450000044135,-0.05372150868242498,
fixed,3,8,20000000,measured,10.760337350000032,0.006946550000037632,10.755614350000059,0.006023000000078937,-0.04389267591107249,
fixed,3,9,20000000,measured,11.785178200000104,0.011648299999869494,11.778531250000023,0.003977149999942142,-0.05640092909312555,
fixed,3,10,20000000,measured,12.846278050000189,0.05434485000003342,12.80027490000015,0.011098250000015852,-0.3581048909340523,
fixed,4,1,20000000,measured,4.29125750000004,0.024196049999979152,4.280210250000063,0.012721499999986285,-0.2574361944016945,
fixed,4,2,20000000,measured,5.4966231000000025,0.004853999999985703,5.49189525000001,0.011485000000013734,-0.0860137199509281,
fixed,4,3,20000000,measured,6.707150849999952,0.015599700000064942,6.701222449999962,0.009430550000042892,-0.08838924503971057,
fixed,4,4,20000000,measured,7.908747150000061,0.012177949999982118,7.922715100000008,0.015591849999979424,0.17661394067891578,
fixed,4,5,20000000,measured,9.103136150000084,0.008058249999958633,9.08182140000002,0.012250399999921058,-0.2341473273478778,
fixed,4,6,20000000,measured,10.316615700000082,0.007750050000010944,10.322128050000092,0.014516000000046603,0.05343176638836766,
fixed,4,7,20000000,measured,11.47204654999999,0.011565600000034593,11.494756750000029,0.01294770000000156,0.19796119115329525,
fixed,4,8,20000000,measured,12.706750999999944,0.024710650000079326,12.706569300000018,0.034818999999901123,-0.001429948536224579,
fixed,4,9,20000000,measured,13.894241800000025,0.01899759999985129,13.89737715000001,0.014639399999978764,0.022565822915110445,
fixed,4,10,20000000,measured,15.16968559999995,0.008395849999990546,15.183351250000008,0.026679799999975273,0.09008525529401457,
fixed,5,1,20000000,measured,4.968711750000003,0.015350499999970069,4.955526350000027,0.010321199999991926,-0.2653685837174291,
fixed,5,2,20000000,measured,6.4958606000000785,0.01664654999996351,6.5205777999999865,0.015942799999902668,0.3805069339066103,
fixed,5,3,20000000,measured,8.037689400000058,0.03414044999999355,8.006473499999961,0.012323350000098543,-0.38836907532278087,
fixed,5,4,20000000,measured,9.515279250000084,0.029686649999982606,9.534587650000077,0.00953790000007082,0.20291995108805416,
fixed,5,5,20000000,measured,11.045539750000106,0.01632004999995118,11.042999400000042,0.030742499999998785,-0.022998876085378317,
fixed,5,6,20000000,measured,12.566559650000151,0.025152250000083143,12.560762500000125,0.01481625000007547,-0.04613155996140428,
fixed,5,7,20000000,measured,14.105434050000131,0.006729999999961933,14.07083435000012,0.021090999999969995,-0.24529340874845929,
fixed,5,8,20000000,measured,15.61531905000003,0.033063050000043503,15.600027449999935,0.015761600000004705,-0.09792691363610384,
fixed,5,9,20000000,measured,17.152773200000226,0.02282549999998551,17.218845400000188,0.05530614999996786,0.38519835381465306,
fixed,5,10,20000000,measured,18.804791450000067,0.05379100000007497,18.806596450000207,0.04397830000016256,0.009598617485018224,
